full_name,code
四川省-宜宾市,511500
四川省-广安市,511600
四川省-达州市,511700
四川省-雅安市,511800
四川省-巴中市,511900
四川省-资阳市,512000
四川省-阿坝,513200
四川省-甘孜,513300
贵州省-贵阳市,520100
贵州省-六盘水市,520200
贵州省-遵义市,520300
贵州省-安顺市,520400
贵州省-毕节市,520500
贵州省-铜仁市,520600
贵州省-黔西南,522300
贵州省-黔东南,522600
贵州省-黔南,522700
云南省-昆明市,530100
云南省-曲靖市,530300
云南省-玉溪市,530400
云南省-保山市,530500
云南省-昭通市,530600
云南省-丽江市,530700
云南省-普洱市,530800
云南省-临沧市,530900
云南省-楚雄,532300
云南省-红河,532500
云南省-文山,532600
云南省-西双版纳,532800
云南省-大理,532900
云南省-德宏,533100
云南省-怒江,533300
云南省-迪庆,533400
西藏-拉萨市,540100
西藏-日喀则市,540200
西藏-昌都市,540300
西藏-林芝市,540400
西藏-山南市,540500
西藏-那曲市,540600
陕西省-西安市,610100
陕西省-铜川市,610200
陕西省-宝鸡市,610300
陕西省-咸阳市,610400
陕西省-渭南市,610500
陕西省-延安市,610600
陕西省-汉中市,610700
陕西省-榆林市,610800
陕西省-安康市,610900
陕西省-商洛市,611000
四川省-凉山,613400
甘肃省-兰州市,620100
甘肃省-嘉峪关市,620200
甘肃省-金昌市,620300
甘肃省-白银市,620400
甘肃省-天水市,620500
甘肃省-武威市,620600
甘肃省-张掖市,620700
甘肃省-平凉市,620800
甘肃省-酒泉市,620900
甘肃省-庆阳市,621000
甘肃省-定西市,621100
甘肃省-陇南市,621200
甘肃省-临夏,622900
甘肃省-甘南,623000
青海省-西宁市,630100
青海省-海东市,630200
青海省-海北,632200
青海省-黄南,632300
青海省-海南,632500
青海省-果洛,632600
青海省-玉树,632700
青海省-海西,632800
宁夏-银川市,640100
宁夏-石嘴山市,640200
宁夏-吴忠市,640300
宁夏-固原市,640400
宁夏-中卫市,640500
新疆-乌鲁木齐市,650100
新疆-克拉玛依市,650200
新疆-吐鲁番市,650400
新疆-哈密市,650500
新疆-昌吉,652300
新疆-博尔塔拉,652700
新疆-巴音郭楞,652800
新疆-克孜勒苏,653000
新疆-伊犁,654000
新疆-石河子市,659001
新疆-阿拉尔市,659002
新疆-图木舒克市,659003
新疆-五家渠市,659004
新疆-北屯市,659005
新疆-铁门关市,659006
新疆-双河市,659007
新疆-可克达拉市,659008
新疆-昆玉市,659009
新疆-胡杨河市,659010
新疆-新星市,659011
新疆-白杨市,659012
台湾省-台北市,710100
台湾省-新北市,710200
台湾省-桃园市,710300
台湾省-台中市,710400
台湾省-台南市,710500
台湾省-高雄市,710600
台湾省-基隆市,710700
台湾省-新竹市,710800
台湾省-嘉义市,710900
